household_id,transaction_original_description,transaction_amount,transaction_date,evidence_type,evidence_source,categorized_as
46630458279834348,Payment Thank You - Web,53.23,2023-10-18 23:14:58.289539+00:00,category,recommendation,46630460189290782
46630458279834348,THEFARMERSDOG.COM,-117.00,2023-10-15 22:09:33.924158+00:00,category,manual_entry,46630459502474032
46630458279834348,TRAVEL CREDIT $300/YEAR,18.92,2023-10-15 22:07:45.590193+00:00,category,manual_entry,46630459852698503
46630458279834348,TRAVEL CREDIT $300/YEAR,18.92,2023-10-15 22:07:45.590193+00:00,category,recommendation,46630460189290782
46630458279834348,TRAVEL CREDIT $300/YEAR,18.92,2023-10-15 22:07:45.590193+00:00,category,manual_entry,71269191177188069
46630458279834348,TRAVEL CREDIT $300/YEAR,23.95,2023-10-15 22:07:45.520741+00:00,category,manual_entry,46630459852698503
46630458279834348,TRAVEL CREDIT $300/YEAR,23.95,2023-10-15 22:07:45.520741+00:00,category,recommendation,46630459839066239
46630458279834348,TRAVEL CREDIT $300/YEAR,23.95,2023-10-15 22:07:45.520741+00:00,category,manual_entry,71269191177188069
46630458279834348,SQ *PORTOLA FESTIVAL,-29.24,2023-10-15 22:07:45.441129+00:00,category,manual_entry,46635530224119935
46630458279834348,SQ *PORTOLA FESTIVAL,-29.24,2023-10-15 22:07:45.441129+00:00,category,manual_entry,46630459442704660
46630458279834348,SQ *PORTOLA FESTIVAL,-20.55,2023-10-15 22:07:45.355957+00:00,category,manual_entry,46635530224119935
46630458279834348,SQ *PORTOLA FESTIVAL,-20.55,2023-10-15 22:07:45.355957+00:00,category,manual_entry,46630459442704660
46630458279834348,SQ *PORTOLA FESTIVAL,-29.24,2023-10-15 22:07:45.441129+00:00,category,manual_entry,46635530224119935
46630458279834348,SQ *PORTOLA FESTIVAL,-29.24,2023-10-15 22:07:45.441129+00:00,category,manual_entry,46630459442704660
46630458279834348,THE RICHFIELD,-11.50,2023-10-15 22:09:32.243532+00:00,category,manual_entry,46635530224119935
46630458279834348,THE RICHFIELD,-11.50,2023-10-15 22:09:32.243532+00:00,category,manual_entry,46630459407053062
46630458279834348,SQ *PORTOLA FESTIVAL,-20.55,2023-10-15 22:07:45.355957+00:00,category,manual_entry,46635530224119935
46630458279834348,SQ *PORTOLA FESTIVAL,-20.55,2023-10-15 22:07:45.355957+00:00,category,manual_entry,46630459442704660
46630458279834348,RICHMOND REPUBLIC,-8.05,2023-10-15 22:09:33.726768+00:00,category,manual_entry,46635530224119935
